"","Program.Code","From.Grade","To.Grade","Group.State","Is.Non.Annual.","Days","Travel.Type","Departure.Date","Return.Date","Deposit.Date","Special.Pay","Tuition","FRP.Active","FRP.Cancelled","FRP.Take.up.percent.","Early.RPL","Latest.RPL","Cancelled.Pax","Total.Discount.Pax","Initial.System.Date","Poverty.Code","Region","CRM.Segment","School.Type","Parent.Meeting.Flag","MDR.Low.Grade","MDR.High.Grade","Total.School.Enrollment","Income.Level","EZ.Pay.Take.Up.Rate","School.Sponsor","SPR.Product.Type","SPR.New.Existing","FPP","Total.Pax","SPR.Group.Revenue","NumberOfMeetingswithParents","FirstMeeting","LastMeeting","DifferenceTraveltoFirstMeeting","DifferenceTraveltoLastMeeting","SchoolGradeTypeLow","SchoolGradeTypeHigh","SchoolGradeType","DepartureMonth","GroupGradeTypeLow","GroupGradeTypeHigh","GroupGradeType","MajorProgramCode","SingleGradeTripFlag","FPP.to.School.enrollment","FPP.to.PAX","Num.of.Non_FPP.PAX","SchoolSizeIndicator","Retained.in.2012.","From.Grade_surrogate","To.Grade_surrogate","Special.Pay_surrogate","Early.RPL_surrogate","Latest.RPL_surrogate","Initial.System.Date_surrogate","CRM.Segment_surrogate","MDR.High.Grade_surrogate","Total.School.Enrollment_surrogate","FirstMeeting_surrogate","LastMeeting_surrogate","DifferenceTraveltoFirstMeeting_surrogate","DifferenceTraveltoLastMeeting_surrogate","FPP.to.School.enrollment_surrogate"
"933","HC","7","8","LA","0","5","A",2011-04-26,2011-04-30,2010-10-01,"FIXED_NA",1659,32,9,0.821,1900-01-01,2010-09-07,11,5,2010-09-04,"C","Other","10","PUBLIC","1","6","8",370,"J",0.154,"0","East Coast","NEW",39,44,1659,"1",2010-09-15,2010-09-15,223,223,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","0",0.105405405,0.886363636,5,"S-M","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"934","HD","8","8","CA","0","5","A",2011-04-26,2011-04-30,2010-10-22,"FIXED_NA",1999,20,2,0.541,1900-01-01,2010-09-14,3,2,2010-09-11,"B","Northern California","5","PUBLIC","1","7","8",712,"Q",0.054,"0","East Coast","NEW",37,39,1999,"1",2010-09-29,2010-09-29,209,209,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.051966292,0.948717949,2,"M-L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"935","HS","6","6","CA","0","2","A",2011-04-27,2011-04-28,2010-11-19,"SA",670,0,0,0,2010-05-21,2010-09-21,0,1,2010-05-06,"","Southern California","4","CHD","0","PK","6",200,"M",0,"1","CA History","EXISTING",17,18,670,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","April","PK","Middle","PK->Middle","H","1",0.085,0.944444444,1,"S","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"936","HS","4","4","CA","0","2","A",2011-04-27,2011-04-28,2010-11-04,"FIXED_NA",599,19,3,0.528,1900-01-01,2010-09-20,3,2,2010-04-24,"B","Southern California","4","PUBLIC","0","K","6",630,"Q",0.25,"1","CA History","EXISTING",36,38,599,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","April","K","Middle","K->Middle","H","1",0.057142857,0.947368421,2,"M-L","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"937","HS","4","4","CA","0","2","A",2011-04-27,2011-04-28,2010-06-15,"SA",480,0,0,0,1900-01-01,1900-01-01,2,0,2010-05-21,"","Southern California","7","CHD","0","","FIXED_NA",0,"",0,"1","CA History","EXISTING",118,118,480,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","April","Undefined","Undefined","Undefined->Undefined","H","1",0,1,0,"","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1"
"938","HD","8","8","MI","0","3","A",2011-04-27,2011-04-29,2010-10-15,"FR",1133,38,11,0.731,2010-04-22,2010-08-30,11,4,2010-04-22,"B","Other","5","PUBLIC","1","6","8",1300,"J",0.308,"0","East Coast","EXISTING",52,56,1133,"1",2010-09-23,2010-09-23,216,216,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.04,0.928571429,4,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"939","HO","5","6","FL","0","3","A",2011-04-27,2011-04-29,2010-11-04,"FIXED_NA",1120,21,3,0.808,1900-01-01,2010-09-24,7,4,2010-05-25,"","Other","5","Private non-Christian","0","PK","12",1100,"F",0.308,"0","East Coast","EXISTING",26,30,1120,"0",1900-01-01,1900-01-01,0,0,"Elementary","Middle","Elementary->Middle","April","PK","High","PK->High","H","0",0.023636364,0.866666667,4,"L","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"940","HG","4","4","CA","0","3","A",2011-04-27,2011-04-29,2010-12-22,"SA",717,0,0,0,1900-01-01,2010-09-15,2,1,2010-04-02,"","Southern California","4","CHD","0","PK","6",180,"P",0,"1","CA History","EXISTING",18,19,717,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","April","PK","Middle","PK->Middle","H","1",0.1,0.947368421,1,"S","1","0","0","0","1","0","0","0","0","0","1","1","1","1","0"
"941","HG","4","4","CA","0","3","B",2011-04-27,2011-04-29,2010-11-30,"FIXED_NA",595,1,0,0.077,1900-01-01,2010-09-16,0,1,2010-05-13,"","Northern California","5","CHD","0","PK","8",400,"M",0,"0","CA History","EXISTING",13,14,595,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","April","PK","Middle","PK->Middle","H","1",0.0325,0.928571429,1,"S-M","1","0","0","1","1","0","0","0","0","0","1","1","1","1","0"
"942","HD","8","8","NY","0","3","B",2011-04-27,2011-04-29,2010-11-15,"SA",669,0,0,0,2010-04-07,2010-04-07,0,7,2010-04-09,"","Other","10","CHD","0","K","12",930,"Q",0,"0","East Coast","EXISTING",62,69,669,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","April","K","High","K->High","H","1",0.066666667,0.898550725,7,"L","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"943","HD","8","10","IN","0","5","B",2011-04-27,2011-05-01,2010-10-15,"FIXED_NA",749,18,2,0.783,1900-01-01,2010-08-20,2,1,2010-08-19,"B","Other","10","PUBLIC","1","6","12",375,"L",0.261,"0","East Coast","NEW",23,24,749,"2",2010-08-26,2010-10-05,244,204,"Middle","High","Middle->High","April","Middle","High","Middle->High","H","0",0.061333333,0.958333333,1,"S-M","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"944","HD","7","8","IL","0","3","B",2011-04-27,2011-05-01,2010-10-21,"FIXED_NA",779,35,2,0.368,1900-01-01,2010-09-10,4,19,2010-09-10,"C","Other","10","PUBLIC","1","PK","8",536,"O",0.19,"0","East Coast","NEW",95,114,779,"1",2010-08-15,2010-08-15,255,255,"Middle","Middle","Middle->Middle","April","PK","Middle","PK->Middle","H","0",0.177238806,0.833333333,19,"S-M","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"945","HD","8","8","FL","0","5","A",2011-04-27,2011-05-01,2010-10-15,"FIXED_NA",1699,24,2,0.75,2010-08-09,2010-08-09,4,3,2010-08-04,"B","Other","10","PUBLIC","1","6","8",664,"O",0.25,"0","East Coast","EXISTING",32,35,1699,"1",2010-09-02,2010-09-02,237,237,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.048192771,0.914285714,3,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"946","HG","4","4","CA","0","2","B",2011-04-28,2011-04-29,2010-10-15,"SA",415,0,0,0,1900-01-01,2010-09-08,3,1,2010-04-29,"","Northern California","5","Private non-Christian","0","PK","8",250,"Q",0,"1","CA History","EXISTING",30,31,415,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","April","PK","Middle","PK->Middle","H","1",0.12,0.967741935,1,"S","1","0","0","0","1","0","0","0","0","0","1","1","1","1","0"
"947","HS","4","4","CA","0","2","A",2011-04-28,2011-04-29,2010-10-01,"CP",609,64,9,0.621,2010-05-19,2010-08-30,11,4,2010-05-18,"","Southern California","5","Private non-Christian","1","K","8",575,"F",0.233,"1","CA History","EXISTING",103,107,609,"1",2010-09-01,2010-09-01,239,239,"Elementary","Elementary","Elementary->Elementary","April","K","Middle","K->Middle","H","1",0.179130435,0.962616822,4,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"948","Other.Program.Code","7","7","CT","0","2","B",2011-04-28,2011-04-29,2010-11-01,"FIXED_NA",299,47,3,0.618,2010-05-07,2010-08-26,2,7,2010-05-06,"B","Other","10","PUBLIC","1","6","8",1061,"M",0.211,"0","East Coast","EXISTING",76,83,299,"1",2010-09-16,2010-09-16,224,224,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.071630537,0.915662651,7,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"949","HS","4","4","CA","0","2","A",2011-04-28,2011-04-29,2010-10-29,"FIXED_NA",612,14,2,0.275,1900-01-01,2010-08-24,3,2,2010-08-04,"","Southern California","4","Private non-Christian","1","Other.MDR.Low.Grade","8",450,"K",0.118,"1","CA History","EXISTING",51,53,612,"1",2010-09-15,2010-09-15,225,225,"Elementary","Elementary","Elementary->Elementary","April","Elementary","Middle","Elementary->Middle","H","1",0.113333333,0.962264151,2,"S-M","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"950","HD","8","8","IN","0","3","A",2011-04-28,2011-04-30,2010-10-15,"FIXED_NA",1029,30,1,0.577,2010-02-15,2010-08-30,3,3,2010-01-28,"B","Other","10","PUBLIC","1","7","12",703,"I",0.077,"0","East Coast","EXISTING",52,55,1029,"1",2010-09-14,2010-09-14,226,226,"Middle","Middle","Middle->Middle","April","Middle","High","Middle->High","H","1",0.073968706,0.945454545,3,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"951","HD","8","8","MI","0","4","A",2011-04-28,2011-05-01,2010-10-19,"FIXED_NA",1356,28,5,0.636,2010-03-17,2010-09-10,5,6,2010-03-16,"C","Other","10","PUBLIC","1","6","8",580,"E",0.159,"0","East Coast","EXISTING",44,50,1356,"1",2010-09-22,2010-09-22,218,218,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.075862069,0.88,6,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"952","HN","6","8","AL","0","4","A",2011-04-28,2011-05-01,2010-09-24,"FIXED_NA",1965,11,9,0.44,2010-04-14,2010-08-04,5,3,2010-04-10,"B","Other","10","PUBLIC","1","6","8",742,"J",0.16,"0","East Coast","EXISTING",25,28,1965,"2",2010-05-03,2010-08-17,360,254,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","0",0.033692722,0.892857143,3,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"953","HN","5","8","AL","0","4","A",2011-04-28,2011-05-01,2010-10-08,"FIXED_NA",2078,12,4,0.571,2010-04-07,2010-08-12,6,2,2010-03-11,"B","Other","4","PUBLIC","1","K","Other.MDR.High.Grade",633,"L",0.333,"0","East Coast","EXISTING",21,23,2078,"1",2010-08-24,2010-08-24,247,247,"Elementary","Middle","Elementary->Middle","April","K","Elementary","K->Elementary","H","0",0.033175355,0.913043478,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"954","HD","8","8","IN","0","3","B",2011-04-28,2011-05-01,2010-10-31,"FIXED_NA",746,43,4,0.683,2010-04-29,2010-08-10,3,5,2010-04-29,"A","Other","5","PUBLIC","1","7","8",921,"P",0.302,"0","East Coast","EXISTING",63,68,746,"1",2010-08-18,2010-08-18,253,253,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.068403909,0.926470588,5,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"955","HN","FIXED_NA","FIXED_NA","CA","0","4","A",2011-04-28,2011-05-01,2011-01-25,"FIXED_NA",2349,4,0,1,1900-01-01,2010-12-15,1,0,2010-12-15,"","Southern California","Other.CRM.Segment","CHD","0","","FIXED_NA",0,"",0,"0","East Coast","NEW",4,4,2349,"0",1900-01-01,1900-01-01,0,0,"Undefined","Undefined","Undefined->Undefined","April","Undefined","Undefined","Undefined->Undefined","H","0",0,1,0,"","0","1","1","1","1","0","0","Other.CRM.Segment_surrogate","1","1","1","1","1","1","1"
"956","HD","FIXED_NA","FIXED_NA","MA","0","5","A",2011-04-28,2011-05-02,2010-10-19,"FR",1299,39,0,0.796,1900-01-01,2010-09-13,1,4,2010-05-01,"","Other","10","Catholic","0","5","8",263,"G",0.143,"0","East Coast","EXISTING",49,53,1299,"0",1900-01-01,1900-01-01,0,0,"Undefined","Undefined","Undefined->Undefined","April","Elementary","Middle","Elementary->Middle","H","0",0.186311787,0.924528302,4,"S","1","1","1","0","1","0","0","0","0","0","1","1","1","1","0"
"957","HD","8","8","MI","0","5","B",2011-04-28,2011-05-02,2010-10-15,"FR",767,68,9,0.42,2010-03-10,2010-08-24,12,15,2010-02-12,"B","Other","5","PUBLIC","1","6","8",710,"Q",0.358,"0","East Coast","EXISTING",162,177,767,"2",2010-03-24,2010-09-15,400,225,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.228169014,0.915254237,15,"M-L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"958","CD","8","8","AZ","0","5","A",2011-04-28,2011-05-02,2010-10-15,"FR",1689,23,2,0.46,2010-01-28,2010-09-13,1,4,2010-01-28,"","Other","5","Catholic","1","K","8",487,"M",0.24,"1","East Coast","EXISTING",50,54,1689,"1",2010-08-11,2010-08-11,260,260,"Middle","Middle","Middle->Middle","April","K","Middle","K->Middle","C","1",0.102669405,0.925925926,4,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"959","CD","8","8","AZ","0","5","A",2011-04-28,2011-05-02,2010-09-15,"FIXED_NA",1705,13,0,0.684,2010-03-19,2010-08-04,1,1,2010-03-19,"","Other","1","Catholic","1","K","8",50,"I",0.474,"0","East Coast","EXISTING",19,20,1705,"2",2010-04-29,2010-08-25,364,246,"Middle","Middle","Middle->Middle","April","K","Middle","K->Middle","C","1",0.38,0.95,1,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"960","HS","4","4","CA","0","1","A",2011-04-29,2011-04-29,2010-06-15,"SA",429,0,0,0,2010-04-23,2010-08-30,3,7,2010-04-21,"","Southern California","5","Private non-Christian","1","PK","12",1000,"P",0,"1","CA History","EXISTING",66,73,429,"1",2010-08-26,2010-08-26,246,246,"Elementary","Elementary","Elementary->Elementary","April","PK","High","PK->High","H","1",0.066,0.904109589,7,"L","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"961","HS","4","4","CA","0","1","A",2011-04-29,2011-04-29,2010-10-01,"CP",393,25,0,0.385,2010-05-27,2010-08-30,1,2,2010-05-28,"B","Southern California","4","PUBLIC","0","K","5",609,"Q",0.262,"1","CA History","EXISTING",65,67,393,"0",1900-01-01,1900-01-01,0,0,"Elementary","Elementary","Elementary->Elementary","April","K","Elementary","K->Elementary","H","1",0.106732348,0.970149254,2,"M-L","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0"
"962","HS","4","4","CA","0","1","A",2011-04-29,2011-04-29,2010-10-29,"FIXED_NA",402,33,5,0.579,1900-01-01,2010-09-13,6,2,2010-04-17,"B","Southern California","4","PUBLIC","1","K","6",1250,"Q",0.158,"1","CA History","EXISTING",57,59,402,"1",2010-09-30,2010-09-30,211,211,"Elementary","Elementary","Elementary->Elementary","April","K","Middle","K->Middle","H","1",0.0456,0.966101695,2,"L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"963","HD","7","8","LA","0","4","A",2011-04-29,2011-05-02,2010-11-08,"FIXED_NA",1316,15,7,0.652,2010-04-12,2010-08-30,16,2,2010-03-19,"C","Other","10","PUBLIC","1","6","8",750,"I",0.174,"0","East Coast","EXISTING",23,25,1316,"2",2010-05-04,2010-09-09,360,232,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","0",0.030666667,0.92,2,"M-L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"964","HD","10","12","MN","1","4","A",2011-04-29,2011-05-02,2009-09-25,"FIXED_NA",1491,39,5,0.83,2009-06-15,2009-06-15,5,5,2009-06-15,"B","Other","10","PUBLIC","0","K","12",560,"K",0.362,"0","East Coast","NEW",47,52,1491,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","April","K","High","K->High","H","0",0.083928571,0.903846154,5,"S-M","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"965","HD","9","12","IA","0","4","A",2011-04-29,2011-05-02,2010-11-15,"SA",1224,0,0,0,1900-01-01,2010-09-07,3,11,2010-08-21,"B","Other","10","PUBLIC","0","PK","12",400,"J",0,"0","East Coast","NEW",115,126,1224,"0",1900-01-01,1900-01-01,0,0,"High","High","High->High","April","PK","High","PK->High","H","0",0.2875,0.912698413,11,"S-M","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0"
"966","HD","7","7","MI","0","3","B",2011-04-29,2011-05-03,2010-10-22,"FIXED_NA",813,30,0,0.462,2010-04-28,2010-08-17,1,1,2010-04-28,"","Other","4","Catholic","1","PK","6",575,"L",0.139,"0","East Coast","EXISTING",65,66,813,"1",2010-09-23,2010-09-23,218,218,"Middle","Middle","Middle->Middle","April","PK","Middle","PK->Middle","H","1",0.113043478,0.984848485,1,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"967","SK","7","8","TX","0","5","A",2011-04-30,2011-05-04,2010-10-15,"FIXED_NA",1841,18,2,0.529,1900-01-01,2010-08-25,4,4,2010-06-03,"C","Dallas","7","PUBLIC","1","6","8",790,"K",0.177,"0","Science","EXISTING",34,38,1841,"1",2010-10-21,2010-10-21,191,191,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","S","0",0.043037975,0.894736842,4,"M-L","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"968","HD","8","8","AL","0","3","B",2011-04-30,2011-05-04,2010-10-15,"FIXED_NA",839,53,11,0.616,2010-03-01,2010-09-10,13,5,2010-02-21,"A","Other","10","PUBLIC","0","7","9",1500,"O",0.302,"0","East Coast","EXISTING",86,91,839,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","April","Middle","High","Middle->High","H","1",0.057333333,0.945054945,5,"L","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0"
"969","HD","8","8","WA","0","5","A",2011-04-30,2011-05-04,2010-11-15,"FIXED_NA",1911,16,0,0.615,2010-03-10,2010-09-29,0,3,2010-03-10,"","Pacific Northwest","5","Catholic","1","PK","8",417,"F",0.192,"0","East Coast","EXISTING",26,29,1911,"2",2010-05-18,2010-09-22,347,220,"Middle","Middle","Middle->Middle","April","PK","Middle","PK->Middle","H","1",0.06235012,0.896551724,3,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"970","SK","8","8","AZ","0","5","A",2011-04-30,2011-05-04,2011-01-25,"FIXED_NA",1888,3,2,0.75,1900-01-01,1900-01-01,5,1,2010-12-14,"B","Other","6","PUBLIC","0","6","8",673,"N",0,"0","Science","EXISTING",4,5,1888,"0",1900-01-01,1900-01-01,0,0,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","S","1",0.005943536,0.8,1,"M-L","1","0","0","1","1","1","0","0","0","0","1","1","1","1","0"
"971","HC","8","8","CA","0","6","A",2011-04-30,2011-05-05,2010-11-15,"FIXED_NA",2285,26,8,0.542,2010-04-26,2010-04-26,14,9,2009-09-23,"B","Southern California","5","PUBLIC","1","6","8",835,"L",0.083,"0","East Coast","EXISTING",48,57,2285,"1",2010-08-26,2010-08-26,247,247,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","H","1",0.05748503,0.842105263,9,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"972","CD","8","8","CA","0","6","A",2011-04-30,2011-05-05,2010-10-07,"FIXED_NA",1994,41,11,0.621,2010-04-13,2010-08-30,10,9,2010-04-02,"","Southern California","5","CHD","1","K","12",854,"Q",0.379,"1","East Coast","EXISTING",66,75,1994,"1",2010-09-16,2010-09-16,226,226,"Middle","Middle","Middle->Middle","April","K","High","K->High","C","1",0.077283372,0.88,9,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"973","HC","8","8","CA","0","6","A",2011-04-30,2011-05-05,2010-11-01,"FR",2621,23,3,0.535,2010-03-12,2010-08-11,5,3,2010-03-11,"","Northern California","10","Catholic","1","K","8",215,"L",0.302,"0","East Coast","EXISTING",43,46,2621,"2",2010-03-29,2010-09-14,397,228,"Middle","Middle","Middle->Middle","April","K","Middle","K->Middle","H","1",0.2,0.934782609,3,"S","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"974","CD","8","8","MI","0","5","B",2011-04-30,2011-05-05,2010-11-01,"FIXED_NA",937,31,1,0.585,2010-02-19,2010-08-19,2,7,2010-02-19,"","Other","10","Catholic","1","6","8",274,"I",0.189,"0","East Coast","EXISTING",53,60,937,"2",2010-05-25,2010-09-08,340,234,"Middle","Middle","Middle->Middle","April","Middle","Middle","Middle->Middle","C","1",0.193430657,0.883333333,7,"S","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"975","HD","7","7","CA","0","7","A",2011-04-30,2011-05-06,2010-11-01,"FIXED_NA",2522,26,2,0.703,2010-04-14,2010-08-24,4,5,2010-03-24,"","Northern California","5","Private non-Christian","1","PK","8",350,"Q",0.108,"0","East Coast","EXISTING",37,42,2522,"1",2010-10-26,2010-10-26,186,186,"Middle","Middle","Middle->Middle","April","PK","Middle","PK->Middle","H","1",0.105714286,0.880952381,5,"S-M","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"976","CD","9","10","ID","0","7","A",2011-04-30,2011-05-06,2010-10-15,"FIXED_NA",2115,30,3,0.361,2010-02-03,2010-08-30,5,6,2010-01-30,"","Other","5","CHD","1","7","12",336,"N",0.181,"1","East Coast","EXISTING",83,89,2115,"1",2010-09-24,2010-09-24,218,218,"High","High","High->High","April","Middle","High","Middle->High","C","0",0.24702381,0.93258427,6,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"977","CD","6","8","CA","1","6","A",2011-04-30,2011-05-06,2010-10-01,"FIXED_NA",2405,4,0,0.444,2010-03-10,2010-08-27,1,1,2010-03-10,"","Northern California","10","CHD","1","PK","8",190,"Q",0.444,"0","East Coast","EXISTING",9,10,2405,"1",2010-09-01,2010-09-01,241,241,"Middle","Middle","Middle->Middle","April","PK","Middle","PK->Middle","C","0",0.047368421,0.9,1,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"978","SG","Other.From.Grade","7","OR","1","7","A",2011-04-30,2011-05-06,2010-10-15,"FIXED_NA",2519,7,0,0.389,2010-03-18,2010-08-31,0,2,2010-03-16,"C","Pacific Northwest","4","PUBLIC","1","K","6",325,"G",0.389,"0","Science","EXISTING",18,20,2519,"1",2010-08-24,2010-08-24,249,249,"Elementary","Middle","Elementary->Middle","April","K","Middle","K->Middle","S","0",0.055384615,0.9,2,"S","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"979","HC","8","8","IL","0","5","B",2011-04-30,2011-05-06,2010-11-10,"FIXED_NA",1195,2,0,0.028,1900-01-01,2010-09-17,5,6,2010-09-17,"B","Other","10","PUBLIC","1","3","8",600,"N",0,"0","East Coast","NEW",71,77,1195,"1",2010-10-13,2010-10-13,199,199,"Middle","Middle","Middle->Middle","April","Elementary","Middle","Elementary->Middle","H","1",0.118333333,0.922077922,6,"M-L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"980","HD","7","7","AZ","0","4","A",2011-05-01,2011-05-04,2010-10-15,"FIXED_NA",1561,45,6,0.652,2010-02-11,2010-08-10,18,9,2010-02-09,"B","Other","10","PUBLIC","1","7","8",1000,"I",0.058,"1","East Coast","EXISTING",69,78,1561,"1",2010-09-30,2010-09-30,213,213,"Middle","Middle","Middle->Middle","May","Middle","Middle","Middle->Middle","H","1",0.069,0.884615385,9,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"981","HD","5","5","CA","0","5","A",2011-05-01,2011-05-05,2010-10-01,"CP",1876,26,1,0.565,2010-04-30,2010-08-23,1,4,2010-04-30,"","Southern California","4","Private non-Christian","1","PK","6",280,"Q",0.13,"0","East Coast","EXISTING",46,50,1876,"1",2010-09-16,2010-09-16,227,227,"Elementary","Elementary","Elementary->Elementary","May","PK","Middle","PK->Middle","H","1",0.164285714,0.92,4,"S","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"982","HD","7","8","CA","1","5","A",2011-05-01,2011-05-05,2010-06-01,"FR",1844,23,4,0.622,2010-02-02,2010-02-02,7,2,2010-02-02,"","Southern California","5","Catholic","1","K","8",350,"F",0.378,"0","East Coast","EXISTING",37,39,1844,"2",2010-04-19,2010-09-21,377,222,"Middle","Middle","Middle->Middle","May","K","Middle","K->Middle","H","0",0.105714286,0.948717949,2,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"983","HD","8","8","CA","0","5","A",2011-05-01,2011-05-05,2010-09-30,"SA",1763,0,0,0,2010-04-30,2010-08-25,2,4,2010-04-10,"","Northern California","5","Private non-Christian","1","K","8",380,"P",0,"0","East Coast","EXISTING",43,47,1763,"1",2010-09-02,2010-09-02,241,241,"Middle","Middle","Middle->Middle","May","K","Middle","K->Middle","H","1",0.113157895,0.914893617,4,"S-M","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"984","Other.Program.Code","7","FIXED_NA","FL","0","5","A",2011-05-01,2011-05-05,2010-11-15,"FIXED_NA",539,31,4,0.608,1900-01-01,2010-09-08,7,3,2010-08-20,"C","Other","4","PUBLIC","1","K","5",450,"E",0.216,"0","CA History","EXISTING",51,54,539,"1",2010-09-09,2010-09-09,234,234,"Middle","Undefined","Middle->Undefined","May","K","Elementary","K->Elementary","H","0",0.113333333,0.944444444,3,"S-M","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0"
"985","CD","6","8","CA","1","5","A",2011-05-01,2011-05-05,2010-09-15,"FR",2010,10,2,0.556,2010-03-19,2010-08-05,4,2,2010-03-19,"","Northern California","1","CHD","1","PK","8",98,"J",0.167,"0","East Coast","NEW",18,20,2010,"1",2010-08-16,2010-08-16,258,258,"Middle","Middle","Middle->Middle","May","PK","Middle","PK->Middle","C","0",0.183673469,0.9,2,"S","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"986","HC","8","8","IL","0","5","A",2011-05-01,2011-05-05,2010-11-10,"FIXED_NA",1470,0,1,0,1900-01-01,2010-09-17,3,1,2010-09-17,"B","Other","10","PUBLIC","1","3","8",600,"N",0,"0","East Coast","NEW",17,18,1470,"1",2010-10-13,2010-10-13,200,200,"Middle","Middle","Middle->Middle","May","Elementary","Middle","Elementary->Middle","H","1",0.028333333,0.944444444,1,"M-L","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0"
"987","HN","8","8","FL","0","6","B",2011-05-01,2011-05-06,2010-09-13,"FIXED_NA",1089,37,17,0.822,2010-03-18,2010-08-10,20,8,2010-02-27,"C","Other","10","PUBLIC","1","6","8",900,"M",0.156,"0","East Coast","EXISTING",45,53,1089,"2",2010-04-13,2010-09-21,383,222,"Middle","Middle","Middle->Middle","May","Middle","Middle","Middle->Middle","H","1",0.05,0.849056604,8,"L","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
